id,symbol,exchange_short,exchange_long,instrument_short,instrument_long,entry_spread_pct,peak_spread_pct,exit_spread_pct,entry_price_short,entry_price_long,size_usd,entry_fees_pct,exit_fees_pct,net_pnl_pct,net_pnl_usd,gross_pnl_pct,funding_paid_usd,entry_time,exit_time,exit_reason,duration_min
1,SIRENUSDT,Gate.io,Binance,PERP,PERP,2.8828,3.37,0.6588,0.547951095152354,0.5326050001179348,38.74,0.11,0.11,1.7069,0.66,1.9269,0.0,2026-04-04T18:24:45.026364+00:00,2026-04-04T18:44:58.064690+00:00,dynamic_exit,20.2
2,DRIFTUSDT,Gate.io,MEXC,PERP,SPOT,2.1909,5.6461,4.4799,0.0350852701183717,0.03433395010012811,151.23,0.115,0.115,-3.4204,-5.17,-3.1904,0.0,2026-04-04T18:24:46.330975+00:00,2026-04-04T19:33:17.040896+00:00,stop_loss,68.5
3,SIRENUSDT,Bybit,Binance,PERP,PERP,0.964,1.3054,0.2026,0.537751446279967,0.5326198748767942,200.0,0.1,0.1,0.3361,0.67,0.5361,0.0,2026-04-04T18:24:46.655685+00:00,2026-04-04T18:27:36.880790+00:00,dynamic_exit,2.8
4,SIRENUSDT,Bybit,MEXC,PERP,PERP,1.026,2.0733,0.3755,0.5381224692357395,0.5326595056601519,17.36,0.075,0.075,0.3883,0.07,0.5383,0.0,2026-04-04T18:24:46.982596+00:00,2026-04-04T18:39:51.456053+00:00,dynamic_exit,15.1
5,SIRENUSDT,Bybit,BingX,PERP,PERP,0.8124,1.1395,0.0193,0.5386584227596265,0.5343200670908107,200.0,0.105,0.105,0.4455,0.89,0.6555,0.0,2026-04-04T18:24:47.247275+00:00,2026-04-04T18:52:29.146764+00:00,convergence,27.7
6,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,0.8345,2.3652,0.3674,0.035107074448740234,0.034816656264497904,111.55,0.085,0.085,-0.3058,-0.34,-0.1358,0.0,2026-04-04T18:24:47.593616+00:00,2026-04-04T18:31:30.994968+00:00,dynamic_exit,6.7
7,DRIFTUSDT,Gate.io,BingX,PERP,PERP,0.7066,1.452,0.34,0.035089710613769615,0.03484370103028176,162.42,0.115,0.115,-0.0939,-0.15,0.1361,0.0,2026-04-04T18:24:47.948047+00:00,2026-04-04T18:36:53.071940+00:00,dynamic_exit,12.1
8,SIRENUSDT,Gate.io,Bybit,PERP,PERP,1.4792,2.2526,0.4396,0.5473853908704052,0.5394096028263347,28.91,0.12,0.12,0.5343,0.15,0.7743,0.0,2026-04-04T18:24:48.268698+00:00,2026-04-04T18:31:11.300241+00:00,dynamic_exit,6.4
9,SIRENUSDT,Gate.io,Binance,PERP,PERP,2.9687,3.37,0.6588,0.5461464333513304,0.5304060018818212,24.59,0.11,0.11,1.4722,0.36,1.6922,0.0,2026-04-04T18:24:52.432939+00:00,2026-04-04T18:44:58.404298+00:00,dynamic_exit,20.1
10,SIRENUSDT,Gate.io,BingX,PERP,PERP,2.8038,3.3666,0.8195,0.5460614536530544,0.5311781846718489,31.84,0.115,0.115,1.4341,0.46,1.6641,0.0,2026-04-04T18:24:53.405325+00:00,2026-04-04T18:43:34.133270+00:00,dynamic_exit,18.7
11,SIRENUSDT,Gate.io,Bybit,PERP,PERP,1.7939,2.038,0.4396,0.5461526394799425,0.5365310168679882,36.7,0.12,0.12,0.8933,0.33,1.1333,0.0,2026-04-04T18:24:53.732534+00:00,2026-04-04T18:31:11.880654+00:00,dynamic_exit,6.3
12,DRIFTUSDT,Gate.io,MEXC,PERP,SPOT,2.4623,6.2885,5.4595,0.03516282917976264,0.03431828554038262,147.26,0.115,0.115,-4.0003,-5.89,-3.7703,0.0,2026-04-04T18:24:54.051388+00:00,2026-04-04T20:06:50.555714+00:00,stop_loss,101.9
13,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.0492,1.5431,1.0568,0.052402606091447146,0.05185867909296236,110.59,0.11,0.11,-0.3491,-0.39,-0.1291,0.0,2026-04-04T18:24:54.367796+00:00,2026-04-04T20:25:02.043623+00:00,timeout,120.1
14,POLYXUSDT,Gate.io,BingX,PERP,PERP,0.8899,1.8039,1.1442,0.05239617735656213,0.051934283043662495,199.89,0.115,0.115,-0.6663,-1.33,-0.4363,0.0,2026-04-04T18:24:54.653828+00:00,2026-04-04T20:25:02.392611+00:00,timeout,120.1
15,DRIFTUSDT,Binance,MEXC,PERP,SPOT,1.391,3.4746,3.2682,0.0348536653708963,0.03437569970600007,199.89,0.095,0.095,-2.8582,-5.71,-2.6682,0.0,2026-04-04T18:24:55.191735+00:00,2026-04-04T19:22:31.843085+00:00,stop_loss,57.6
16,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,1.0302,2.3652,0.3674,0.03517584980664313,0.034817342720774955,96.95,0.085,0.085,-0.1006,-0.1,0.0694,0.0,2026-04-04T18:24:55.525549+00:00,2026-04-04T18:31:31.349649+00:00,dynamic_exit,6.6
17,SIRENUSDT,Gate.io,BingX,PERP,PERP,2.2036,3.3666,0.8195,0.5419530507685404,0.5302738712326103,33.75,0.115,0.115,0.8402,0.28,1.0702,0.0,2026-04-04T18:24:59.867912+00:00,2026-04-04T18:43:34.448759+00:00,dynamic_exit,18.6
18,DRIFTUSDT,Gate.io,MEXC,PERP,SPOT,2.4673,6.2885,5.4595,0.0351586974672143,0.034312525657762855,143.52,0.115,0.115,-3.9955,-5.73,-3.7655,0.0,2026-04-04T18:25:00.411722+00:00,2026-04-04T20:06:50.882789+00:00,stop_loss,101.8
19,SIRENUSDT,Gate.io,Bybit,PERP,PERP,1.7093,2.038,0.4396,0.541175232659571,0.5320865477445335,26.94,0.12,0.12,0.6125,0.16,0.8525,0.0,2026-04-04T18:25:00.703752+00:00,2026-04-04T18:31:12.175439+00:00,dynamic_exit,6.2
20,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,0.9687,2.3652,0.3674,0.035156981038738974,0.034819872760127484,143.52,0.085,0.085,-0.185,-0.27,-0.015,0.0,2026-04-04T18:25:01.035363+00:00,2026-04-04T18:31:31.709425+00:00,dynamic_exit,6.5
21,DRIFTUSDT,Gate.io,Binance,PERP,PERP,0.7929,1.3352,0.1699,0.03516198069943355,0.03488545502427986,143.52,0.11,0.11,0.1773,0.25,0.3973,0.0,2026-04-04T18:25:01.597355+00:00,2026-04-04T18:37:52.481869+00:00,dynamic_exit,12.8
22,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.0425,1.5431,1.0852,0.05239992928427712,0.05185950782828414,199.81,0.11,0.11,-0.3697,-0.74,-0.1497,0.0,2026-04-04T18:25:01.875764+00:00,2026-04-04T20:25:12.516120+00:00,timeout,120.2
23,DRIFTUSDT,Gate.io,BingX,PERP,PERP,0.7798,1.452,0.34,0.03516134925418699,0.034889426123963334,104.09,0.115,0.115,0.0093,0.01,0.2393,0.0,2026-04-04T18:25:02.185791+00:00,2026-04-04T18:36:53.375298+00:00,dynamic_exit,11.9
24,DRIFTUSDT,BingX,MEXC,PERP,SPOT,1.3625,3.5493,3.3799,0.03478827869823764,0.034320975938750796,147.66,0.1,0.1,-2.9892,-4.41,-2.7892,0.0,2026-04-04T18:25:02.543109+00:00,2026-04-04T19:22:32.192093+00:00,stop_loss,57.5
25,SIRENUSDT,Gate.io,Binance,PERP,PERP,2.4427,3.37,0.6588,0.5446777493286499,0.5316948987323017,12.89,0.11,0.11,0.9965,0.13,1.2165,0.0,2026-04-04T18:25:07.917132+00:00,2026-04-04T18:44:58.719580+00:00,dynamic_exit,19.8
26,SIRENUSDT,Gate.io,BingX,PERP,PERP,2.1319,3.3666,0.8195,0.5444249111660132,0.5330692875290454,23.44,0.115,0.115,0.8867,0.21,1.1167,0.0,2026-04-04T18:25:08.241413+00:00,2026-04-04T18:43:34.727907+00:00,dynamic_exit,18.4
27,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,0.8926,2.3652,0.3674,0.03513187215609638,0.034821278971552225,144.9,0.085,0.085,-0.262,-0.38,-0.092,0.0,2026-04-04T18:25:08.818888+00:00,2026-04-04T18:31:32.050582+00:00,dynamic_exit,6.4
28,DRIFTUSDT,Gate.io,BingX,PERP,PERP,0.7777,1.452,0.34,0.035149882159695924,0.03487876851545551,65.8,0.115,0.115,0.026,0.02,0.256,0.0,2026-04-04T18:25:09.096678+00:00,2026-04-04T18:36:53.651653+00:00,dynamic_exit,11.7
29,DRIFTUSDT,Gate.io,Binance,PERP,PERP,0.7793,1.3352,0.1699,0.03513749866491205,0.03486589818161068,144.69,0.11,0.11,0.2472,0.36,0.4672,0.0,2026-04-04T18:25:09.373238+00:00,2026-04-04T18:37:52.787026+00:00,dynamic_exit,12.7
30,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.0368,1.5431,1.0852,0.05239922848464877,0.05186179620681712,199.66,0.11,0.11,-0.3755,-0.75,-0.1555,0.0,2026-04-04T18:25:09.644391+00:00,2026-04-04T20:25:12.955891+00:00,timeout,120.1
31,VELVETUSDT,BingX,Binance,PERP,PERP,0.9036,1.5771,1.1656,0.06752948889346432,0.06692500874885558,47.82,0.095,0.095,-0.6953,-0.33,-0.5053,0.0,2026-04-04T18:25:09.907736+00:00,2026-04-04T20:25:13.350316+00:00,timeout,120.1
